time,stat,ns,ratio,gdop,n_slip,n_reject,n_downweight,n_low_snr,n_low_el,n_res_outlier
2005/04/02 00:49:30.000,1,6,215.588,3.111,0,0,0,0,0,0
2005/04/02 00:50:00.000,1,6,217.451,3.109,0,0,0,0,0,0
2005/04/02 00:50:30.000,1,6,219.388,3.107,0,0,0,0,0,0
2005/04/02 00:51:00.000,1,6,224.049,3.105,0,0,0,0,0,0
2005/04/02 00:51:30.000,1,6,229.531,3.102,0,0,0,0,0,0
2005/04/02 00:52:00.000,1,6,228.519,3.100,0,0,0,0,0,0
2005/04/02 00:52:30.000,1,6,227.406,3.097,0,0,0,0,0,0
2005/04/02 00:53:00.000,1,6,226.937,3.095,0,0,0,0,0,0
2005/04/02 00:53:30.000,1,6,231.194,3.092,0,0,0,0,0,0
2005/04/02 00:54:00.000,1,6,234.366,3.089,0,0,0,0,0,0
2005/04/02 00:54:30.000,1,6,230.162,3.086,0,0,0,0,0,0
2005/04/02 00:55:00.000,1,6,234.095,3.083,0,0,0,0,0,0
2005/04/02 00:55:30.000,1,6,240.850,3.080,0,0,0,0,0,0
2005/04/02 00:56:00.000,1,6,245.046,3.077,0,0,0,0,0,0
2005/04/02 00:56:30.000,1,6,248.234,3.074,0,0,0,0,0,0
2005/04/02 00:57:00.000,1,5,349.981,29.043,0,0,0,0,0,0
2005/04/02 00:57:30.000,0,5,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:58:00.000,0,5,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:58:30.000,0,5,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:59:00.000,0,5,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:59:30.000,0,5,0.000,0.000,0,0,0,0,0,0
