time,stat,ns,ratio,gdop,n_slip,n_reject,n_downweight,n_low_snr,n_low_el,n_res_outlier
2005/04/02 00:23:00.000,1,6,81.293,3.026,0,0,0,0,0,0
2005/04/02 00:23:30.000,1,6,85.054,3.030,0,0,0,0,0,0
2005/04/02 00:24:00.000,1,6,88.428,3.034,0,0,0,0,0,0
2005/04/02 00:24:30.000,1,6,93.308,3.038,0,0,0,0,0,0
2005/04/02 00:25:00.000,1,6,96.638,3.042,0,0,0,0,0,0
2005/04/02 00:25:30.000,1,6,100.029,3.046,0,0,0,0,0,0
2005/04/02 00:26:00.000,1,6,103.929,3.049,0,0,0,0,0,0
2005/04/02 00:26:30.000,1,6,110.989,3.053,0,0,0,0,0,0
2005/04/02 00:27:00.000,1,6,117.517,3.057,0,0,0,0,0,0
2005/04/02 00:27:30.000,1,6,120.033,3.060,0,0,0,0,0,0
2005/04/02 00:28:00.000,1,6,124.985,3.064,0,0,0,0,0,0
2005/04/02 00:28:30.000,1,6,129.378,3.067,0,0,0,0,0,0
2005/04/02 00:29:00.000,1,6,136.006,3.071,0,0,0,0,0,0
2005/04/02 00:29:30.000,1,6,136.717,3.074,0,0,0,0,0,0
2005/04/02 00:30:00.000,1,6,134.764,3.078,0,0,0,0,0,0
2005/04/02 00:30:30.000,1,6,132.800,3.081,0,0,0,0,0,0
2005/04/02 00:31:00.000,1,6,133.073,3.084,0,0,0,0,0,0
2005/04/02 00:31:30.000,1,6,135.244,3.087,0,0,0,0,0,0
2005/04/02 00:32:00.000,1,6,138.364,3.090,0,0,0,0,0,0
2005/04/02 00:32:30.000,1,6,139.936,3.093,0,0,0,0,0,0
2005/04/02 00:33:00.000,1,6,146.334,3.096,0,0,0,0,0,0
2005/04/02 00:33:30.000,1,6,153.881,3.098,0,0,0,0,0,0
2005/04/02 00:34:00.000,1,6,160.733,3.101,0,0,0,0,0,0
2005/04/02 00:34:30.000,1,6,167.694,3.103,0,0,0,0,0,0
2005/04/02 00:35:00.000,1,6,168.850,3.106,0,0,0,0,0,0
2005/04/02 00:35:30.000,1,6,171.877,3.108,0,0,0,0,0,0
2005/04/02 00:36:00.000,1,6,175.452,3.110,0,0,0,0,0,0
2005/04/02 00:36:30.000,1,6,176.955,3.112,0,0,0,0,0,0
2005/04/02 00:37:00.000,1,6,176.289,3.114,0,0,0,0,0,0
2005/04/02 00:37:30.000,1,6,178.265,3.116,0,0,0,0,0,0
2005/04/02 00:38:00.000,1,6,179.244,3.117,0,0,0,0,0,0
2005/04/02 00:38:30.000,1,6,182.180,3.119,0,0,0,0,0,0
2005/04/02 00:39:00.000,1,6,179.891,3.120,0,0,0,0,0,0
2005/04/02 00:39:30.000,1,6,180.629,3.121,0,0,0,0,0,0
2005/04/02 00:40:00.000,1,6,176.325,3.122,0,0,0,0,0,0
2005/04/02 00:40:30.000,1,6,176.732,3.123,0,0,0,0,0,0
2005/04/02 00:41:00.000,1,6,179.583,3.124,0,0,0,0,0,0
2005/04/02 00:41:30.000,1,6,182.345,3.124,0,0,0,0,0,0
2005/04/02 00:42:00.000,1,6,185.727,3.125,0,0,0,0,0,0
2005/04/02 00:42:30.000,1,6,186.204,3.125,0,0,0,0,0,0
2005/04/02 00:43:00.000,1,6,185.258,3.125,0,0,0,0,0,0
2005/04/02 00:43:30.000,1,6,188.801,3.125,0,0,0,0,0,0
2005/04/02 00:44:00.000,1,6,191.008,3.124,0,0,0,0,0,0
